Facets,Cleaned_Facet,Category,Description,Weight,Prompt_Template
Compassion Fatigue,Compassion Fatigue,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Compassion Fatigue.",1.0,"Rate how strongly the text exhibits 'Compassion Fatigue' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Compassion Fatigue.)"
Moroseness,Moroseness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Moroseness.",1.0,"Rate how strongly the text exhibits 'Moroseness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Moroseness.)"
Specialist,Specialist,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Specialist.",1.0,"Rate how strongly the text exhibits 'Specialist' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Specialist.)"
Aloofness,Aloofness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aloofness.",1.0,"Rate how strongly the text exhibits 'Aloofness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aloofness.)"
Genuine,Genuine,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Genuine.",1.0,"Rate how strongly the text exhibits 'Genuine' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Genuine.)"
Determinedness,Determinedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Determinedness.",1.0,"Rate how strongly the text exhibits 'Determinedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Determinedness.)"
HonestyHumility:,HonestyHumility,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of HonestyHumility.",1.0,"Rate how strongly the text exhibits 'HonestyHumility' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of HonestyHumility.)"
Relationship Building Themes:,Relationship Building Themes,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Relationship Building Themes.",1.0,"Rate how strongly the text exhibits 'Relationship Building Themes' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Relationship Building Themes.)"
Pure Challenge,Pure Challenge,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Pure Challenge.",1.0,"Rate how strongly the text exhibits 'Pure Challenge' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Pure Challenge.)"
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Numerical Reasoning Subcomponents.",1.0,"Rate how strongly the text exhibits 'Numerical Reasoning Subcomponents' (Assesses logical coherence, analytical reasoning, and structured processing associated with Numerical Reasoning Subcomponents.)"
Openness,Openness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Openness.",1.0,"Rate how strongly the text exhibits 'Openness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Openness.)"
SelfEsteem,SelfEsteem,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of SelfEsteem.",1.0,"Rate how strongly the text exhibits 'SelfEsteem' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of SelfEsteem.)"
Comparing alphanumeric data,Comparing alphanumeric data,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Comparing alphanumeric data.",1.0,"Rate how strongly the text exhibits 'Comparing alphanumeric data' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Comparing alphanumeric data.)"
Big-heartedness,Big-heartedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Big-heartedness.",1.0,"Rate how strongly the text exhibits 'Big-heartedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Big-heartedness.)"
Compulsive activities,Compulsive activities,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Compulsive activities.",1.0,"Rate how strongly the text exhibits 'Compulsive activities' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Compulsive activities.)"
Disrespect,Disrespect,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Disrespect.",1.0,"Rate how strongly the text exhibits 'Disrespect' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Disrespect.)"
FSH level,FSH level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of FSH level.",1.0,"Rate how strongly the text exhibits 'FSH level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of FSH level.)"
Self Perspective,Self Perspective,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self Perspective.",1.0,"Rate how strongly the text exhibits 'Self Perspective' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self Perspective.)"
Desperation,Desperation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Desperation.",1.0,"Rate how strongly the text exhibits 'Desperation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Desperation.)"
Affiliation Motivation:,Affiliation Motivation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Affiliation Motivation.",1.0,"Rate how strongly the text exhibits 'Affiliation Motivation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Affiliation Motivation.)"
Anatomy knowledge,Anatomy knowledge,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Anatomy knowledge.",1.0,"Rate how strongly the text exhibits 'Anatomy knowledge' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Anatomy knowledge.)"
Passive-Aggressive,Passive-Aggressive,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Passive-Aggressive.",1.0,"Rate how strongly the text exhibits 'Passive-Aggressive' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Passive-Aggressive.)"
Presence of Spiritual Pain,Presence of Spiritual Pain,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Presence of Spiritual Pain.",1.0,"Rate how strongly the text exhibits 'Presence of Spiritual Pain' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Presence of Spiritual Pain.)"
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Role of Spirituality in Community Involvement.",1.0,"Rate how strongly the text exhibits 'Role of Spirituality in Community Involvement' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Role of Spirituality in Community Involvement.)"
Structure,Structure,Linguistic Quality,"Assesses structural, syntactic, and stylistic features of language production related to Structure.",1.0,"Rate how strongly the text exhibits 'Structure' (Assesses structural, syntactic, and stylistic features of language production related to Structure.)"
Eco-tourism trips,Eco-tourism trips,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Eco-tourism trips.",1.0,"Rate how strongly the text exhibits 'Eco-tourism trips' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Eco-tourism trips.)"
Chivalrousness,Chivalrousness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Chivalrousness.",1.0,"Rate how strongly the text exhibits 'Chivalrousness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Chivalrousness.)"
Pilgrimage participation count,Pilgrimage participation count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Pilgrimage participation count.",1.0,"Rate how strongly the text exhibits 'Pilgrimage participation count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Pilgrimage participation count.)"
Mindfulness facet: Observing,Mindfulness facet: Observing,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Mindfulness facet: Observing.",1.0,"Rate how strongly the text exhibits 'Mindfulness facet: Observing' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Mindfulness facet: Observing.)"
Submissiveness,Submissiveness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Submissiveness.",1.0,"Rate how strongly the text exhibits 'Submissiveness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Submissiveness.)"
Training-cycle length,Training-cycle length,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Training-cycle length.",1.0,"Rate how strongly the text exhibits 'Training-cycle length' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Training-cycle length.)"
Sensitiveness,Sensitiveness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sensitiveness.",1.0,"Rate how strongly the text exhibits 'Sensitiveness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sensitiveness.)"
Negative Affect Frequency,Negative Affect Frequency,Emotion,"Measures the presence, intensity, and nuance of emotion related to Negative Affect Frequency.",1.0,"Rate how strongly the text exhibits 'Negative Affect Frequency' (Measures the presence, intensity, and nuance of emotion related to Negative Affect Frequency.)"
Innovation and Creativity Components:,Innovation and Creativity Components,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Innovation and Creativity Components.",1.0,"Rate how strongly the text exhibits 'Innovation and Creativity Components' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Innovation and Creativity Components.)"
Achievement Motivation:,Achievement Motivation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Achievement Motivation.",1.0,"Rate how strongly the text exhibits 'Achievement Motivation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Achievement Motivation.)"
Feedback-giving frequency,Feedback-giving frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Feedback-giving frequency.",1.0,"Rate how strongly the text exhibits 'Feedback-giving frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Feedback-giving frequency.)"
Dance-cardio sessions,Dance-cardio sessions,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dance-cardio sessions.",1.0,"Rate how strongly the text exhibits 'Dance-cardio sessions' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dance-cardio sessions.)"
Enthusiasm,Enthusiasm,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Enthusiasm.",1.0,"Rate how strongly the text exhibits 'Enthusiasm' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Enthusiasm.)"
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Social Desirability tendency.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Social Desirability tendency' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Social Desirability tendency.)"
Inattentiveness,Inattentiveness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Inattentiveness.",1.0,"Rate how strongly the text exhibits 'Inattentiveness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Inattentiveness.)"
Unassertiveness,Unassertiveness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Unassertiveness.",1.0,"Rate how strongly the text exhibits 'Unassertiveness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Unassertiveness.)"
Decision-making decisiveness,Decision-making decisiveness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decision-making decisiveness.",1.0,"Rate how strongly the text exhibits 'Decision-making decisiveness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decision-making decisiveness.)"
Sense-of-coherence score,Sense-of-coherence score,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sense-of-coherence score.",1.0,"Rate how strongly the text exhibits 'Sense-of-coherence score' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sense-of-coherence score.)"
Justice-mindedness,Justice-mindedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Justice-mindedness.",1.0,"Rate how strongly the text exhibits 'Justice-mindedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Justice-mindedness.)"
Subscription count,Subscription count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Subscription count.",1.0,"Rate how strongly the text exhibits 'Subscription count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Subscription count.)"
Depression Symptoms,Depression Symptoms,Emotion,"Measures the presence, intensity, and nuance of emotion related to Depression Symptoms.",1.0,"Rate how strongly the text exhibits 'Depression Symptoms' (Measures the presence, intensity, and nuance of emotion related to Depression Symptoms.)"
Spatial perception,Spatial perception,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Spatial perception.",1.0,"Rate how strongly the text exhibits 'Spatial perception' (Assesses logical coherence, analytical reasoning, and structured processing associated with Spatial perception.)"
Brevity,Brevity,Linguistic Quality,"Assesses structural, syntactic, and stylistic features of language production related to Brevity.",1.0,"Rate how strongly the text exhibits 'Brevity' (Assesses structural, syntactic, and stylistic features of language production related to Brevity.)"
Orderliness,Orderliness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Orderliness.",1.0,"Rate how strongly the text exhibits 'Orderliness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Orderliness.)"
Multiculturalism,Multiculturalism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Multiculturalism.",1.0,"Rate how strongly the text exhibits 'Multiculturalism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Multiculturalism.)"
Creative risk-taking tendency,Creative risk-taking tendency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Creative risk-taking tendency.",1.0,"Rate how strongly the text exhibits 'Creative risk-taking tendency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Creative risk-taking tendency.)"
Inefficiency,Inefficiency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Inefficiency.",1.0,"Rate how strongly the text exhibits 'Inefficiency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Inefficiency.)"
Network basics,Network basics,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Network basics.",1.0,"Rate how strongly the text exhibits 'Network basics' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Network basics.)"
Alphabetical filing skills,Alphabetical filing skills,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Alphabetical filing skills.",1.0,"Rate how strongly the text exhibits 'Alphabetical filing skills' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Alphabetical filing skills.)"
Work Styles,Work Styles,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Work Styles.",1.0,"Rate how strongly the text exhibits 'Work Styles' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Work Styles.)"
Character strength: Perseverance,Character strength: Perseverance,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Character strength: Perseverance.",1.0,"Rate how strongly the text exhibits 'Character strength: Perseverance' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Character strength: Perseverance.)"
Competition,Competition,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Competition.",1.0,"Rate how strongly the text exhibits 'Competition' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Competition.)"
Logical Sequence Identification,Logical Sequence Identification,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Logical Sequence Identification.",1.0,"Rate how strongly the text exhibits 'Logical Sequence Identification' (Assesses logical coherence, analytical reasoning, and structured processing associated with Logical Sequence Identification.)"
Sustainable-transport usage,Sustainable-transport usage,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sustainable-transport usage.",1.0,"Rate how strongly the text exhibits 'Sustainable-transport usage' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sustainable-transport usage.)"
Hardworking,Hardworking,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hardworking.",1.0,"Rate how strongly the text exhibits 'Hardworking' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hardworking.)"
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,Emotion,"Measures the presence, intensity, and nuance of emotion related to Emotional-intelligence measure: Impulsiveness.",1.0,"Rate how strongly the text exhibits 'Emotional-intelligence measure: Impulsiveness' (Measures the presence, intensity, and nuance of emotion related to Emotional-intelligence measure: Impulsiveness.)"
Dishonesty,Dishonesty,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dishonesty.",1.0,"Rate how strongly the text exhibits 'Dishonesty' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dishonesty.)"
Preferred epistemology,Preferred epistemology,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Preferred epistemology.",1.0,"Rate how strongly the text exhibits 'Preferred epistemology' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Preferred epistemology.)"
Memory for Sounds,Memory for Sounds,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Memory for Sounds.",1.0,"Rate how strongly the text exhibits 'Memory for Sounds' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Memory for Sounds.)"
Sportsmanship rating,Sportsmanship rating,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sportsmanship rating.",1.0,"Rate how strongly the text exhibits 'Sportsmanship rating' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sportsmanship rating.)"
Immaturity,Immaturity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Immaturity.",1.0,"Rate how strongly the text exhibits 'Immaturity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Immaturity.)"
Health-literacy level,Health-literacy level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Health-literacy level.",1.0,"Rate how strongly the text exhibits 'Health-literacy level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Health-literacy level.)"
Estimating Calculations,Estimating Calculations,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Estimating Calculations.",1.0,"Rate how strongly the text exhibits 'Estimating Calculations' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Estimating Calculations.)"
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,Emotion,"Measures the presence, intensity, and nuance of emotion related to Depression: Feelings of sadness and hopelessness.",1.0,"Rate how strongly the text exhibits 'Depression: Feelings of sadness and hopelessness' (Measures the presence, intensity, and nuance of emotion related to Depression: Feelings of sadness and hopelessness.)"
Synthesis of information,Synthesis of information,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Synthesis of information.",1.0,"Rate how strongly the text exhibits 'Synthesis of information' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Synthesis of information.)"
Leadership Potential:,Leadership Potential,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Leadership Potential.",1.0,"Rate how strongly the text exhibits 'Leadership Potential' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Leadership Potential.)"
Ethical standards,Ethical standards,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Ethical standards.",1.0,"Rate how strongly the text exhibits 'Ethical standards' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Ethical standards.)"
High-spiritedness,High-spiritedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of High-spiritedness.",1.0,"Rate how strongly the text exhibits 'High-spiritedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of High-spiritedness.)"
Critical reasoning,Critical reasoning,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Critical reasoning.",1.0,"Rate how strongly the text exhibits 'Critical reasoning' (Assesses logical coherence, analytical reasoning, and structured processing associated with Critical reasoning.)"
Sleep-disorder diagnosis,Sleep-disorder diagnosis,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sleep-disorder diagnosis.",1.0,"Rate how strongly the text exhibits 'Sleep-disorder diagnosis' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sleep-disorder diagnosis.)"
Listening Skills Subcomponents:,Listening Skills Subcomponents,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Listening Skills Subcomponents.",1.0,"Rate how strongly the text exhibits 'Listening Skills Subcomponents' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Listening Skills Subcomponents.)"
Collaboration,Collaboration,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Collaboration.",1.0,"Rate how strongly the text exhibits 'Collaboration' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Collaboration.)"
Precision of Movements,Precision of Movements,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Precision of Movements.",1.0,"Rate how strongly the text exhibits 'Precision of Movements' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Precision of Movements.)"
Social Boldness,Social Boldness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social Boldness.",1.0,"Rate how strongly the text exhibits 'Social Boldness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social Boldness.)"
Auditory memory,Auditory memory,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Auditory memory.",1.0,"Rate how strongly the text exhibits 'Auditory memory' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Auditory memory.)"
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Psychomotor Ability Subcomponents.",1.0,"Rate how strongly the text exhibits 'Psychomotor Ability Subcomponents' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Psychomotor Ability Subcomponents.)"
Organized lifestyle,Organized lifestyle,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Organized lifestyle.",1.0,"Rate how strongly the text exhibits 'Organized lifestyle' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Organized lifestyle.)"
Skill-endorsements count,Skill-endorsements count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Skill-endorsements count.",1.0,"Rate how strongly the text exhibits 'Skill-endorsements count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Skill-endorsements count.)"
